Rank,Name,Net Worth,Industry
1.,Bernard Arnault & family,$233 B,Fashion & Retail
2.,Elon Musk,$195 B,Automotive
3.,Jeff Bezos,$194 B,Technology
4.,Mark Zuckerberg,$177 B,Technology
5.,Larry Ellison,$141 B,Technology
6.,Warren Buffett,$133 B,Finance & Investments
7.,Bill Gates,$128 B,Technology
8.,Steve Ballmer,$121 B,Technology
9.,Mukesh Ambani,$116 B,Diversified
10.,Larry Page,$114 B,Technology
11.,Sergey Brin,$110 B,Technology
12.,Michael Bloomberg,$106 B,Finance & Investments
13.,Amancio Ortega,$103 B,Fashion & Retail
14.,Carlos Slim Helu & family,$102 B,Telecom
15.,Francoise Bettencourt Meyers & family,$99.5 B,Fashion & Retail
16.,Michael Dell,$91 B,Technology
17.,Gautam Adani,$84 B,Diversified
18.,Jim Walton & family,$78.4 B,Fashion & Retail
19.,Rob Walton & family,$77.4 B,Fashion & Retail
20.,Jensen Huang,$77 B,Technology
21.,Alice Walton,$72.3 B,Fashion & Retail
22.,David Thomson & family,$67.8 B,Media & Entertainment
23.,Julia Koch & family,$64.3 B,Diversified
24.,Zhong Shanshan,$62.3 B,Food & Beverage
25.,Charles Koch & family,$58.5 B,Diversified
26.,Giovanni Ferrero,$43.8 B,Food & Beverage
27.,Prajogo Pangestu,$43.4 B,Diversified
27.,Zhang Yiming,$43.4 B,Technology
29.,Tadashi Yanai & family,$42.8 B,Fashion & Retail
30.,Phil Knight & family,$40.9 B,Fashion & Retail
31.,Mark Mateschitz,$39.6 B,Food & Beverage
32.,Klaus-Michael Kuehne,$39.2 B,Logistics
33.,Colin Huang,$38.9 B,Technology
34.,Stephen Schwarzman,$38.8 B,Finance & Investments
35.,Jacqueline Mars,$38.5 B,Food & Beverage
35.,John Mars,$38.5 B,Food & Beverage
37.,Dieter Schwarz,$38 B,Fashion & Retail
38.,Li Ka-shing,$37.3 B,Diversified
39.,Shiv Nadar,$36.9 B,Technology
40.,Alain Wertheimer,$36.8 B,Fashion & Retail
40.,Gerard Wertheimer,$36.8 B,Fashion & Retail
42.,Ken Griffin,$36.4 B,Finance & Investments
43.,MacKenzie Scott,$35.6 B,Technology
44.,Thomas Peterffy,$34 B,Finance & Investments
45.,Reinhold Wuerth & family,$33.6 B,Manufacturing
46.,William Ding,$33.5 B,Technology
46.,Savitri Jindal & family,$33.5 B,Metals & Mining
48.,Gianluigi Aponte,$33.1 B,Logistics
48.,Rafaela Aponte-Diamant,$33.1 B,Logistics
50.,Changpeng Zhao,$33 B,Finance & Investments
51.,Masayoshi Son,$32.7 B,Finance & Investments
52.,Len Blavatnik,$32.1 B,Diversified
53.,Miriam Adelson & family,$32 B,Gambling & Casinos
54.,François Pinault & family,$31.6 B,Fashion & Retail
55.,Jim Simons,$31.4 B,Finance & Investments
56.,Gina Rinehart,$30.8 B,Metals & Mining
57.,Ma Huateng,$30.2 B,Technology
58.,Abigail Johnson,$29 B,Finance & Investments
59.,Vagit Alekperov,$28.6 B,Energy
60.,Eduardo Saverin,$28 B,Technology
60.,Lukas Walton,$28 B,Fashion & Retail
62.,Germán Larrea Mota Velasco & family,$27.9 B,Metals & Mining
63.,Lee Shau Kee,$27.7 B,Real Estate
64.,Jeff Yass,$27.6 B,Finance & Investments
65.,Andrea Pignataro,$27.5 B,Finance & Investments
66.,Low Tuck Kwong,$27.4 B,Energy
66.,Leonid Mikhelson & family,$27.4 B,Energy
68.,Stefan Quandt,$27.3 B,Automotive
69.,Dilip Shanghvi,$26.7 B,Healthcare
70.,Vladimir Lisin,$26.6 B,Metals & Mining
71.,R. Budi Hartono,$26.5 B,Finance & Investments
71.,Susanne Klatten,$26.5 B,Automotive
73.,"Thomas Frist, Jr. & family",$26.2 B,Healthcare
73.,Daniel Gilbert,$26.2 B,Finance & Investments
75.,Iris Fontbona & family,$25.7 B,Metals & Mining
76.,Emmanuel Besnier,$25.5 B,Food & Beverage
76.,Michael Hartono,$25.5 B,Manufacturing
76.,Alexey Mordashov & family,$25.5 B,Metals & Mining
79.,"John Menard, Jr.",$25.2 B,Fashion & Retail
80.,He Xiangjian & family,$25.1 B,Manufacturing
81.,Jack Ma,$24.5 B,Technology
81.,Elaine Marshall & family,$24.5 B,Diversified
83.,Autry Stephens,$24.3 B,Energy
84.,Eyal Ofer,$24 B,Diversified
85.,Vladimir Potanin,$23.7 B,Metals & Mining
86.,Gennady Timchenko,$23.4 B,Energy
87.,Takemitsu Takizaki,$23.1 B,Manufacturing
88.,Vinod Adani,$23 B,Diversified
89.,Robin Zeng,$22.9 B,Automotive
90.,Cyrus Poonawalla,$21.3 B,Healthcare
91.,Andrey Melnichenko & family,$21.1 B,Metals & Mining
92.,Diane Hendricks,$20.9 B,Construction & Engineering
92.,Kushal Pal Singh,$20.9 B,Real Estate
94.,Vicky Safra & family,$20.6 B,Finance & Investments
94.,Eric Schmidt,$20.6 B,Technology
94.,David Tepper,$20.6 B,Finance & Investments
97.,Steve Cohen,$19.8 B,Finance & Investments
98.,Kumar Birla,$19.7 B,Diversified
99.,Rick Cohen & family,$19.6 B,Technology
100.,Rupert Murdoch & family,$19.5 B,Media & Entertainment
101.,Andrew Forrest & family,$19 B,Metals & Mining
102.,Harold Hamm & family,$18.5 B,Energy
103.,Dustin Moskovitz,$18.3 B,Technology
104.,Donald Bren,$18 B,Real Estate
104.,Renata Kellnerova & family,$18 B,Finance & Investments
104.,Michael Platt,$18 B,Finance & Investments
107.,Radhakishan Damani,$17.6 B,Fashion & Retail
108.,John Fredriksen,$16.9 B,Logistics
109.,Eric Li,$16.8 B,Automotive
110.,Stefan Persson,$16.6 B,Fashion & Retail
111.,James Ratcliffe,$16.5 B,Manufacturing
111.,Harry Triguboff,$16.5 B,Real Estate
113.,Jorge Paulo Lemann & family,$16.4 B,Food & Beverage
113.,Lakshmi Mittal,$16.4 B,Metals & Mining
115.,Ravi Jaipuria,$16.2 B,Food & Beverage
115.,Stanley Kroenke,$16.2 B,Sports
117.,Jan Koum,$16.1 B,Technology
118.,Karl Albrecht Jr. & family,$15.9 B,Fashion & Retail
118.,Beate Heister,$15.9 B,Fashion & Retail
120.,Idan Ofer,$15.8 B,Diversified
121.,Nicolas Puech,$15.6 B,Fashion & Retail
122.,Pavel Durov,$15.5 B,Technology
122.,Qin Yinglin,$15.5 B,Food & Beverage
124.,Ray Dalio,$15.4 B,Finance & Investments
125.,Philip Anschutz,$15.3 B,Finance & Investments
126.,Leonard Lauder,$15.1 B,Fashion & Retail
126.,Li Xiting,$15.1 B,Healthcare
126.,Peter Woo,$15.1 B,Real Estate
129.,Andreas von Bechtolsheim & family,$14.8 B,Technology
130.,George Kaiser,$14.6 B,Energy
131.,Wang Chuanfu,$14.2 B,Automotive
132.,Charlene de Carvalho-Heineken & family,$14.1 B,Food & Beverage
132.,David Duffield,$14.1 B,Technology
132.,Henry Samueli,$14.1 B,Technology
135.,"Theo Albrecht, Jr. & family",$14 B,Fashion & Retail
135.,Leon Black,$14 B,Finance & Investments
137.,Jerry Jones & family,$13.8 B,Sports
137.,Wang Wei,$13.8 B,Service
139.,David Green & family,$13.7 B,Fashion & Retail
140.,James Dyson,$13.6 B,Manufacturing
140.,David Sun,$13.6 B,Technology
140.,John Tu,$13.6 B,Technology
140.,Christy Walton,$13.6 B,Fashion & Retail
144.,Dang Yanbao,$13.4 B,Metals & Mining
144.,Aliko Dangote,$13.4 B,Manufacturing
144.,Ricardo Salinas Pliego & family,$13.4 B,Fashion & Retail
144.,Alisher Usmanov,$13.4 B,Metals & Mining
148.,Mike Cannon-Brookes,$13.3 B,Technology
148.,Uday Kotak,$13.3 B,Finance & Investments
150.,Mikhail Fridman,$13.1 B,Energy
150.,Joseph Lau,$13.1 B,Real Estate
152.,Scott Farquhar,$13 B,Technology
153.,Laurene Powell Jobs & family,$12.8 B,Technology
154.,Goh Cheng Liang,$12.7 B,Manufacturing
154.,George Roberts,$12.7 B,Finance & Investments
