Entity,Code,Year,Share of population with no education,Education
Argentina,ARG,1950,14.211617,85.78838
Argentina,ARG,1955,12.431603,87.5684
Argentina,ARG,1960,10.859231,89.14077
Argentina,ARG,1965,9.377147,90.622856
Argentina,ARG,1970,8.031716,91.968285
Argentina,ARG,1975,6.812619,93.18738
Argentina,ARG,1980,5.8037105,94.19629
Argentina,ARG,1985,4.8814497,95.11855
Argentina,ARG,1990,4.0488596,95.95114
Argentina,ARG,1995,3.3246772,96.67532
Argentina,ARG,2000,2.7534006,97.2466
Argentina,ARG,2005,2.2671978,97.7328
Argentina,ARG,2010,1.8492883,98.15071
Argentina,ARG,2015,1.5083904,98.49161
Argentina,ARG,2020,1.2622308,98.73777
Argentina,ARG,2025,1.044449,98.95555
Argentina,ARG,2030,0.86933076,99.13067
Argentina,ARG,2035,0.72910714,99.27089
Argentina,ARG,2040,0.619451,99.38055
Argentina,ARG,2045,0.5290853,99.47092
Argentina,ARG,2050,0.4542395,99.54576
Argentina,ARG,2055,0.39185387,99.60815
Argentina,ARG,2060,0.33906046,99.66094
Argentina,ARG,2065,0.2929935,99.70701
Argentina,ARG,2070,0.25200737,99.74799
Argentina,ARG,2075,0.21583629,99.784164
Argentina,ARG,2080,0.1838628,99.81614
Argentina,ARG,2085,0.15629475,99.843704
Argentina,ARG,2090,0.1326911,99.86731
Argentina,ARG,2095,0.11209527,99.8879
Argentina,ARG,2100,0.09423882,99.90576
Australia,AUS,1950,1.7044035,98.29559
Australia,AUS,1955,1.8605148,98.13949
Australia,AUS,1960,1.9176444,98.08236
Australia,AUS,1965,1.8918141,98.108185
Australia,AUS,1970,1.8443898,98.15561
Australia,AUS,1975,1.7524188,98.24758
Australia,AUS,1980,1.637346,98.362656
Australia,AUS,1985,1.5162185,98.48378
Australia,AUS,1990,1.3818144,98.61819
Australia,AUS,1995,1.2584542,98.74155
Australia,AUS,2000,1.1312323,98.86877
Australia,AUS,2005,0.9832799,99.01672
Australia,AUS,2010,0.8139186,99.18608
Australia,AUS,2015,0.6699109,99.330086
Australia,AUS,2020,0.6349725,99.36503
Australia,AUS,2025,0.5623778,99.43762
Australia,AUS,2030,0.4891219,99.51088
Australia,AUS,2035,0.4321219,99.56788
Australia,AUS,2040,0.3881519,99.61185
Australia,AUS,2045,0.35011524,99.64989
Australia,AUS,2050,0.31590006,99.6841
Australia,AUS,2055,0.28337508,99.71662
Australia,AUS,2060,0.25301877,99.74698
Australia,AUS,2065,0.2225647,99.777435
Australia,AUS,2070,0.19392106,99.806076
Australia,AUS,2075,0.16644846,99.83355
Australia,AUS,2080,0.14041516,99.85959
Australia,AUS,2085,0.11677476,99.883224
Australia,AUS,2090,0.096105255,99.90389
Australia,AUS,2095,0.078745864,99.92126
Australia,AUS,2100,0.06421233,99.93579
Brazil,BRA,1950,49.213608,50.786392
Brazil,BRA,1955,45.166084,54.833916
Brazil,BRA,1960,41.211636,58.788364
Brazil,BRA,1965,36.764107,63.235893
Brazil,BRA,1970,31.9713,68.0287
Brazil,BRA,1975,27.367737,72.63226
Brazil,BRA,1980,23.162233,76.83777
Brazil,BRA,1985,19.764359,80.23564
Brazil,BRA,1990,16.854834,83.145164
Brazil,BRA,1995,14.273426,85.72658
Brazil,BRA,2000,12.080299,87.9197
Brazil,BRA,2005,10.310417,89.68958
Brazil,BRA,2010,8.885453,91.11455
Brazil,BRA,2015,7.5603046,92.4397
Brazil,BRA,2020,6.522197,93.477806
Brazil,BRA,2025,5.541515,94.45849
Brazil,BRA,2030,4.726353,95.27364
Brazil,BRA,2035,4.0281663,95.97183
Brazil,BRA,2040,3.4495113,96.55049
Brazil,BRA,2045,2.953569,97.04643
Brazil,BRA,2050,2.5244675,97.47553
Brazil,BRA,2055,2.1482275,97.851776
Brazil,BRA,2060,1.8160344,98.18397
Brazil,BRA,2065,1.5251268,98.47488
Brazil,BRA,2070,1.274246,98.72575
Brazil,BRA,2075,1.0601717,98.93983
Brazil,BRA,2080,0.8753416,99.12466
Brazil,BRA,2085,0.7167202,99.28328
Brazil,BRA,2090,0.58279866,99.4172
Brazil,BRA,2095,0.47295666,99.52705
Brazil,BRA,2100,0.38432774,99.61567
Canada,CAN,1950,1.1024845,98.897514
Canada,CAN,1955,1.0362161,98.96378
Canada,CAN,1960,0.96394473,99.03606
Canada,CAN,1965,0.8926126,99.10738
Canada,CAN,1970,0.82312495,99.17687
Canada,CAN,1975,0.7568042,99.243195
Canada,CAN,1980,0.7008186,99.29918
Canada,CAN,1985,0.65323174,99.34677
Canada,CAN,1990,0.60770184,99.392296
